Pregunta|Intencion|Intencion_cat_label|Intencion_encoded
que requisitos tengo para enviar dinero al exterior?|Cat_36|36|282
quiera saber si tengo que habilitar mi tarjeta de debito santander universidades para el uso en el exterior ya que en esta semana viajo a peru.|Cat_304|304|221
no se acreditaban los bonos vencidos días atrás?|Cat_161|161|64
sos un hombre?|Cat_27|27|183
donde retiro mi tarjeta américan expres|Cat_293|293|208
yo no solicite este seguro . quiero la baja urgente!|Cat_264|264|177
quiero saber cuanto estoy debiendo en la tarjeta|Cat_342|342|263
por favor paseme la pagina para cambiar contraseña|Cat_1|1|1
en donde solicito el ccredito|Cat_223|223|132
comision de uso de cajeros no propios pero yo no hice ninguna transacion|Cat_97|97|349
quiero hacer un reclamo porque tengo una tranferencia agendada y en vez de hacerla inmediata como correspondía  el sistema la registró como una nueva cuenta y le dió horas de plazo de acreditación.|Cat_80|80|331
cuanto es el monto máximo que ofrecen de credito?|Cat_236|236|146
restablecer las claves de la tarjeta|Cat_288|288|202
como puedo cargar credito a mi celular|Cat_132|132|32
que pasa si el préstamo personal lo quiero pedir con mi marido?|Cat_254|254|166
boleta debitar monto|Cat_129|129|28
puedo sacar plata del exterior?|Cat_298|298|213
necesito reclamar por el cobro incorrecto de impuestos.|Cat_122|122|22
que necesito para tener ccredito|Cat_248|248|159
tengo creditos como puedo unificarlos y pagar una sola cuota|Cat_120|120|21
me sigue llegando email promociones a ustedes y yo ya cerré mi cuenta|Cat_136|136|36
quiero saber si acreditó el pago de mi ccredito.|Cat_239|239|149
préstamos personales|Cat_225|225|134
ccomo deber hacer pagar cuenta tarjeta debitar|Cat_132|132|32
queria dar de baja unos debitos automaticos|Cat_292|292|207
quiero saber cómo dar de baja el debito automatico|Cat_89|89|340
hay pagar una tasa de interés muy alta por el acuerdo de sobregiro?|Cat_56|56|304
que pasa con los fci? no hay informacion|Cat_172|172|76
reclamar que me devuelvan el dinero de una compra realizada hace más de un año y nunca me devolvieron el dinero del descuento|Cat_312|312|230
deuda queria numero llamar|Cat_194|194|100
me quiero cambiar de banco como tendria q hacer y que me ofrecen|Cat_39|39|285
